                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.76085,                0.38172,                 1.0045,                0.98533,                0.99252,                0.99133,                0.79853,                0.81766,                 0.3225,                 1.0807,              0.0008384,              0.0008384,              0.0008384
                     90,                0.75307,                0.37931,                0.99459,                0.98823,                0.98851,                0.99187,                0.79341,                0.83714,                0.32428,                 1.0921,              0.0008252,              0.0008252,              0.0008252
                     91,                0.74488,                0.37604,                0.98975,                0.98215,                0.99368,                0.99164,                0.80046,                0.82686,                0.31885,                 1.0835,               0.000812,               0.000812,               0.000812
                     92,                0.74384,                0.37774,                 1.0002,                0.98687,                0.98768,                0.99076,                0.79814,                0.82652,                0.31821,                  1.077,              0.0007988,              0.0007988,              0.0007988
                     93,                 0.7463,                0.36878,                0.99245,                0.98836,                0.99015,                0.99096,                0.79888,                0.82422,                0.32173,                 1.0746,              0.0007856,              0.0007856,              0.0007856
                     94,                0.74177,                0.36834,                0.99765,                0.99013,                 0.9883,                0.99067,                0.80355,                0.81551,                0.31627,                 1.0791,              0.0007724,              0.0007724,              0.0007724
                     95,                0.73713,                0.36405,                0.99474,                0.98329,                0.98851,                0.98964,                0.79245,                0.82935,                 0.3282,                 1.0812,              0.0007592,              0.0007592,              0.0007592
                     96,                0.73131,                0.36515,                0.99366,                0.98687,                0.98761,                0.99143,                0.80522,                0.81972,                0.31296,                 1.0668,               0.000746,               0.000746,               0.000746
                     97,                0.71258,                0.35777,                0.98709,                0.98686,                 0.9867,                0.99135,                0.80811,                0.81603,                0.31508,                 1.0728,              0.0007328,              0.0007328,              0.0007328
                     98,                0.73759,                0.37701,                  1.002,                0.98611,                0.99343,                0.99107,                0.80085,                0.81727,                0.31587,                 1.0749,              0.0007196,              0.0007196,              0.0007196
                     99,                0.73993,                0.37212,                0.98935,                0.98366,                0.98825,                0.98893,                0.79369,                0.82453,                0.31826,                 1.0838,              0.0007064,              0.0007064,              0.0007064
                    100,                0.72995,                0.36328,                0.98712,                0.98686,                0.99179,                 0.9901,                0.79008,                0.81395,                0.30991,                 1.0746,              0.0006932,              0.0006932,              0.0006932
                    101,                0.71824,                0.36209,                0.98553,                0.98305,                0.99343,                 0.9912,                0.79546,                0.81687,                0.30944,                 1.0758,                0.00068,                0.00068,                0.00068
                    102,                0.72139,                0.36754,                0.98762,                 0.9852,                0.98851,                0.98917,                0.80065,                  0.813,                0.30918,                 1.0673,              0.0006668,              0.0006668,              0.0006668
                    103,                0.71019,                0.35867,                0.97932,                 0.9863,                0.99015,                0.98846,                0.79538,                0.82063,                 0.3085,                 1.0731,              0.0006536,              0.0006536,              0.0006536
                    104,                0.72333,                0.36471,                0.98453,                0.98686,                0.98657,                0.98817,                0.78989,                0.82113,                0.30529,                 1.0808,              0.0006404,              0.0006404,              0.0006404
                    105,                0.72212,                0.36526,                0.99452,                 0.9842,                0.99179,                0.99167,                 0.8003,                0.80773,                0.31385,                 1.0649,              0.0006272,              0.0006272,              0.0006272
                    106,                0.71927,                0.35879,                0.98655,                0.98532,                0.99206,                0.99112,                0.80095,                0.82021,                 0.3187,                 1.0836,               0.000614,               0.000614,               0.000614
                    107,                0.72641,                0.37251,                0.99468,                0.98045,                0.98833,                0.99099,                0.80376,                0.80708,                0.31334,                 1.0723,              0.0006008,              0.0006008,              0.0006008
                    108,                0.72234,                0.35898,                 0.9868,                0.98357,                0.98851,                0.99129,                0.80475,                0.80834,                0.30769,                   1.07,              0.0005876,              0.0005876,              0.0005876
                    109,                0.72245,                0.35661,                0.98593,                0.98755,                0.99179,                0.99017,                0.80176,                0.81943,                 0.3043,                 1.0723,              0.0005744,              0.0005744,              0.0005744
                    110,                0.70743,                0.35223,                0.98315,                0.98451,                0.98851,                0.99134,                 0.8167,                0.80241,                0.29794,                 1.0704,              0.0005612,              0.0005612,              0.0005612
                    111,                0.71106,                0.35824,                0.99044,                 0.9817,                0.99343,                0.99098,                 0.8035,                0.81514,                 0.3029,                 1.0863,               0.000548,               0.000548,               0.000548
                    112,                0.70945,                0.35469,                0.98312,                0.98692,                0.99101,                 0.9911,                0.79955,                0.83335,                0.30509,                 1.0796,              0.0005348,              0.0005348,              0.0005348
                    113,                0.70142,                0.35077,                 0.9836,                0.98214,                0.99339,                0.99032,                0.80251,                0.82441,                0.30285,                 1.0842,              0.0005216,              0.0005216,              0.0005216
                    114,                0.70924,                0.35408,                0.98329,                0.98697,                0.99472,                0.99033,                0.79622,                0.82406,                0.30305,                 1.0737,              0.0005084,              0.0005084,              0.0005084
                    115,                0.71059,                0.34702,                0.98348,                0.98376,                0.99478,                0.99103,                0.79875,                0.82967,                0.29956,                 1.0828,              0.0004952,              0.0004952,              0.0004952
                    116,                0.69232,                0.34181,                0.97285,                 0.9869,                0.98986,                0.99048,                0.81041,                0.81221,                0.29859,                 1.0768,               0.000482,               0.000482,               0.000482
                    117,                0.69962,                0.34527,                0.97695,                0.98377,                0.98686,                0.99071,                0.80811,                0.81459,                0.29895,                 1.0863,              0.0004688,              0.0004688,              0.0004688
                    118,                0.70352,                 0.3471,                 0.9839,                0.98209,                0.99343,                0.99082,                 0.8015,                0.83347,                0.30048,                 1.0808,              0.0004556,              0.0004556,              0.0004556
                    119,                0.69443,                0.34055,                0.97292,                0.98643,                0.99015,                0.98965,                 0.8045,                0.81824,                0.29788,                 1.0777,              0.0004424,              0.0004424,              0.0004424
                    120,                0.70436,                0.34537,                0.98224,                 0.9849,                0.99343,                0.99127,                0.80315,                0.82596,                0.29835,                 1.0833,              0.0004292,              0.0004292,              0.0004292
                    121,                0.69781,                0.34074,                0.98118,                0.98357,                0.99343,                0.99086,                0.80043,                0.82068,                0.29996,                 1.0804,               0.000416,               0.000416,               0.000416
                    122,                0.69488,                0.34443,                 0.9767,                0.98338,                0.99343,                0.99146,                0.81125,                 0.8129,                0.29501,                 1.0692,              0.0004028,              0.0004028,              0.0004028
                    123,                0.70072,                0.34399,                0.98173,                0.98649,                0.99343,                0.99088,                0.80838,                0.82225,                0.30072,                 1.0713,              0.0003896,              0.0003896,              0.0003896
                    124,                0.68817,                0.34087,                 0.9762,                0.98205,                 0.9884,                0.99043,                0.79865,                0.81607,                0.29984,                  1.073,              0.0003764,              0.0003764,              0.0003764
                    125,                0.67696,                0.33383,                0.97362,                0.98371,                0.99164,                0.99097,                0.80487,                 0.8166,                0.29771,                 1.0742,              0.0003632,              0.0003632,              0.0003632
                    126,                0.67843,                0.33609,                0.97313,                0.98335,                0.99015,                0.98851,                0.80404,                0.81091,                0.29517,                 1.0842,                0.00035,                0.00035,                0.00035
                    127,                0.67505,                0.32763,                0.96997,                0.98534,                0.99316,                 0.9891,                0.80794,                0.80561,                0.29755,                 1.0789,              0.0003368,              0.0003368,              0.0003368
                    128,                0.68871,                0.33772,                0.97132,                0.98064,                0.99179,                0.99026,                0.80866,                0.80674,                0.29222,                 1.0766,              0.0003236,              0.0003236,              0.0003236
                    129,                0.68128,                0.32929,                0.96654,                0.98508,                0.99343,                0.98896,                0.80845,                0.81143,                0.29427,                  1.078,              0.0003104,              0.0003104,              0.0003104
                    130,                0.68095,                0.33232,                0.97208,                 0.9844,                0.99343,                0.99038,                 0.8104,                0.81006,                0.29374,                 1.0748,              0.0002972,              0.0002972,              0.0002972
                    131,                0.66847,                0.33188,                0.96872,                 0.9869,                0.98943,                0.98973,                0.80495,                0.81494,                0.29352,                 1.0831,               0.000284,               0.000284,               0.000284
                    132,                0.67337,                0.33217,                0.97351,                0.98342,                0.99179,                0.99123,                0.80813,                0.82374,                0.29461,                  1.086,              0.0002708,              0.0002708,              0.0002708
                    133,                0.68281,                 0.3351,                 0.9719,                0.98337,                0.99343,                0.99115,                0.81266,                 0.8052,                0.28969,                 1.0702,              0.0002576,              0.0002576,              0.0002576
                    134,                0.67258,                 0.3319,                0.97933,                0.98045,                0.99343,                0.99089,                0.80973,                0.79737,                0.28959,                  1.068,              0.0002444,              0.0002444,              0.0002444
                    135,                 0.6656,                0.32637,                0.95791,                 0.9802,                0.99343,                0.99007,                0.80833,                0.80274,                0.28786,                 1.0801,              0.0002312,              0.0002312,              0.0002312
                    136,                0.65709,                0.32191,                0.96823,                 0.9829,                0.99179,                0.99029,                0.81147,                0.81007,                0.29132,                 1.0797,               0.000218,               0.000218,               0.000218
                    137,                0.67196,                 0.3272,                0.96631,                0.98514,                0.99343,                 0.9909,                0.81559,                0.81257,                0.29343,                 1.0797,              0.0002048,              0.0002048,              0.0002048
                    138,                0.66718,                0.32617,                0.96688,                0.98671,                0.99507,                0.99068,                0.81405,                0.80974,                0.29248,                 1.0762,              0.0001916,              0.0001916,              0.0001916
                    139,                0.66426,                0.32404,                0.96675,                 0.9835,                0.99507,                0.99091,                0.81638,                0.80819,                0.29136,                 1.0786,              0.0001784,              0.0001784,              0.0001784
                    140,                0.66542,                0.32793,                0.96602,                0.98534,                0.99328,                0.99092,                0.81446,                0.80565,                0.28617,                 1.0753,              0.0001652,              0.0001652,              0.0001652
